word,actions,label,pred
Great food but the service was dreadful !,"[2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([ 1.0252, -2.3899,  0.0336], device='cuda:0', grad_fn=<SelectBackward>)"
I was pleasently surprised at the taste .,"[2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([ 0.0041, -0.6291, -0.3059], device='cuda:0', grad_fn=<SelectBackward>)"
their brunch menu had something for everyone .,"[2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([-0.4607, -0.0155, -0.6664], device='cuda:0', grad_fn=<SelectBackward>)"
The staff should be a bit more friendly .,"[2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.3124, -0.8030,  0.0113], device='cuda:0', grad_fn=<SelectBackward>)"
I went to Kitchenette this weekend for brunch .,"[2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.7670, -0.0210,  0.1081], device='cuda:0', grad_fn=<SelectBackward>)"
I asked for a simple medium rare steak .,"[2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.0793, -0.8509,  0.7646], device='cuda:0', grad_fn=<SelectBackward>)"
15 % gratuity automatically added to the bill .,"[2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.3529, -0.2255, -0.6109], device='cuda:0', grad_fn=<SelectBackward>)"
15 % gratuity automatically added to the bill .,"[2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.3540, -0.1302, -0.8484], device='cuda:0', grad_fn=<SelectBackward>)"
Make more tables - perhaps a rooftop bar ?,"[2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.6099, -0.4876, -0.2233], device='cuda:0', grad_fn=<SelectBackward>)"
Make more tables - perhaps a rooftop bar ?,"[2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-0.7512, -0.6241, -0.0902], device='cuda:0', grad_fn=<SelectBackward>)"
Bring your date and a bottle of wine !,"[2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.3174, -0.2306, -0.1734], device='cuda:0', grad_fn=<SelectBackward>)"
Prices even outside of restaurant week were great .,"[2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([-0.0753, -0.5640, -0.4142], device='cuda:0', grad_fn=<SelectBackward>)"
I was highly disappointed by their service and food .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([ 0.0127, -1.2209,  0.1929], device='cuda:0', grad_fn=<SelectBackward>)"
"However , the food and service and dramatically lacking .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.4778, -1.9934,  1.5724], device='cuda:0', grad_fn=<SelectBackward>)"
"A beautiful atmosphere , perfect for drinks and/or appetizers .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-2.0856, -1.5165,  2.1429], device='cuda:0', grad_fn=<SelectBackward>)"
"A beautiful atmosphere , perfect for drinks and/or appetizers .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-2.7156,  0.0058,  0.9423], device='cuda:0', grad_fn=<SelectBackward>)"
It 's eaten with black vinegar and shredded ginger .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-0.5924, -0.6249,  0.1867], device='cuda:0', grad_fn=<SelectBackward>)"
It 's eaten with black vinegar and shredded ginger .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-0.5863, -0.5876,  0.1405], device='cuda:0', grad_fn=<SelectBackward>)"
"Great beer selection too , something like 50 beers .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.4612, -0.2123,  0.0610], device='cuda:0', grad_fn=<SelectBackward>)"
"When she complained , the waitress said , Sorry .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([ 1.8218, -0.8634, -1.8727], device='cuda:0', grad_fn=<SelectBackward>)"
"for an appetizer , their calamari is a winner .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.5607, -0.3674,  0.6607], device='cuda:0', grad_fn=<SelectBackward>)"
"Anywhere else , the prices would be 3x as high !","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([-0.1688, -0.4333, -0.4984], device='cuda:0', grad_fn=<SelectBackward>)"
I know real Indian food and this was n't it .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-1.0883, -0.4674,  0.3509], device='cuda:0', grad_fn=<SelectBackward>)"
The decor is designed in a contemporary Japanese style restaurant .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.7652, -0.3361,  0.7872], device='cuda:0', grad_fn=<SelectBackward>)"
There was only one waiter for the whole restaurant upstairs .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-0.0289, -0.0491, -0.9743], device='cuda:0', grad_fn=<SelectBackward>)"
Could have had better for 1/3 the price in Chinatown .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.8268,  0.1368, -0.9126], device='cuda:0', grad_fn=<SelectBackward>)"
Save room for deserts - they 're to die for .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([-0.3786, -0.3400, -0.4249], device='cuda:0', grad_fn=<SelectBackward>)"
"It was good , but none of the flavors WOW .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.0844, -1.7445,  1.7196], device='cuda:0', grad_fn=<SelectBackward>)"
"The appetizers are ok , but the service is slow .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-0.4854, -0.6611, -0.1100], device='cuda:0', grad_fn=<SelectBackward>)"
"The appetizers are ok , but the service is slow .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([ 0.0661, -1.4738,  0.2157], device='cuda:0', grad_fn=<SelectBackward>)"
"Menus feature seasonal picks , like sweet corn-foie gras brulee .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-2.3273, -1.8578,  2.9648], device='cuda:0', grad_fn=<SelectBackward>)"
"Menus feature seasonal picks , like sweet corn-foie gras brulee .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-2.4128, -2.2826,  3.5997], device='cuda:0', grad_fn=<SelectBackward>)"
The decor is what initially got me in the door .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([-0.1088, -0.4257, -0.6586], device='cuda:0', grad_fn=<SelectBackward>)"
How can they survive serving mediocre food at exorbitant prices ?!,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.1987,  0.8059, -1.6337], device='cuda:0', grad_fn=<SelectBackward>)"
The food was mediocre and the service was severely slow .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.1178,  1.2491, -1.8290], device='cuda:0', grad_fn=<SelectBackward>)"
"I trust the people at Go Sushi , it never disappoints .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([-1.1199,  0.9066, -1.2932], device='cuda:0', grad_fn=<SelectBackward>)"
"Entrees include classics like lasagna , fettuccine Alfredo and chicken parmigiana .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-2.3748, -0.7487,  1.7985], device='cuda:0', grad_fn=<SelectBackward>)"
"Entrees include classics like lasagna , fettuccine Alfredo and chicken parmigiana .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-2.4475, -0.7878,  1.8891], device='cuda:0', grad_fn=<SelectBackward>)"
"Entrees include classics like lasagna , fettuccine Alfredo and chicken parmigiana .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-2.4481, -0.7883,  1.8900], device='cuda:0', grad_fn=<SelectBackward>)"
"Entrees include classics like lasagna , fettuccine Alfredo and chicken parmigiana .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-2.4481, -0.7882,  1.8900], device='cuda:0', grad_fn=<SelectBackward>)"
The sushi is cut in blocks bigger than my cell phone .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.1630, -0.1432, -0.8384], device='cuda:0', grad_fn=<SelectBackward>)"
If you are a Tequila fan you will not be disappointed .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([-0.4759, -0.1936, -0.5145], device='cuda:0', grad_fn=<SelectBackward>)"
Not to sound too negative but be wary of the delivary .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-1.3660, -0.2315, -0.0195], device='cuda:0', grad_fn=<SelectBackward>)"
How can hope to stay in business with service like this ?,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.7334, -1.4036,  0.9793], device='cuda:0', grad_fn=<SelectBackward>)"
"during busy hrs , i recommend that you make a reservation .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.4081, -0.8748,  0.7550], device='cuda:0', grad_fn=<SelectBackward>)"
I 've had better Japanese food at a mall food court .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.7524, -0.1839, -0.2931], device='cuda:0', grad_fn=<SelectBackward>)"
Ask for the round corner table next to the large window .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([-0.2861, -0.7879, -0.4150], device='cuda:0', grad_fn=<SelectBackward>)"
"Give it a try , menu is typical French but varied .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.8042, -1.0387,  1.6791], device='cuda:0', grad_fn=<SelectBackward>)"
"Go with the specials , and stay away from the salmon .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-1.3848, -0.6275,  0.4470], device='cuda:0', grad_fn=<SelectBackward>)"
Who said go when the place is quiet during the day ?,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-0.2075, -1.8675,  0.9174], device='cuda:0', grad_fn=<SelectBackward>)"
We were seated promptly in close proximity to the dance floor .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-0.6364, -0.5443, -0.0869], device='cuda:0', grad_fn=<SelectBackward>)"
My friend had a burger and I had these wonderful blueberry pancakes .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.9235, -0.8021,  1.6783], device='cuda:0', grad_fn=<SelectBackward>)"
I thought the food is n't cheap at all compared to Chinatown .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.3864, -0.2706, -0.5993], device='cuda:0', grad_fn=<SelectBackward>)"
"The staff is arrogant , the prices are way high for Brooklyn .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([ 0.1772, -1.4097,  0.2227], device='cuda:0', grad_fn=<SelectBackward>)"
This is literally a hot spot when it comes to the food .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([-0.3470, -0.3330, -0.4336], device='cuda:0', grad_fn=<SelectBackward>)"
"Perfectly al dente pasta , not drowned in sauce -- generous portions .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-0.9086, -1.9911,  2.1303], device='cuda:0', grad_fn=<SelectBackward>)"
The boutique selection of wines covers a wide variety without being imposeing .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.8318, -0.9785,  1.4662], device='cuda:0', grad_fn=<SelectBackward>)"
Cuisine is billed as asian fusion - does n't meet the bill .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.2973, -0.1794, -0.8031], device='cuda:0', grad_fn=<SelectBackward>)"
Cuisine is billed as asian fusion - does n't meet the bill .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-0.2031, -0.2851, -0.7397], device='cuda:0', grad_fn=<SelectBackward>)"
Cuisine is billed as asian fusion - does n't meet the bill .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.3411, -0.3185, -0.5185], device='cuda:0', grad_fn=<SelectBackward>)"
Waiting three hours before getting our entrees was a treat as well .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-0.6514, -0.4432,  0.0309], device='cuda:0', grad_fn=<SelectBackward>)"
Waiting three hours before getting our entrees was a treat as well .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.3270, -0.0252, -0.8891], device='cuda:0', grad_fn=<SelectBackward>)"
The ground chickpea soup we sampled as a starter tasted somewhat thin .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([ 0.6212, -0.6161, -0.7763], device='cuda:0', grad_fn=<SelectBackward>)"
It took about 2 1/2 hours to be served our 2 courses .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-0.8844, -0.2732, -0.2597], device='cuda:0', grad_fn=<SelectBackward>)"
It took about 2 1/2 hours to be served our 2 courses .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.7036, -0.2194, -0.4134], device='cuda:0', grad_fn=<SelectBackward>)"
The chicken and falafel platters were nondescript combinations with fresh leaf salad .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-0.7732, -0.8677,  0.7455], device='cuda:0', grad_fn=<SelectBackward>)"
The chicken and falafel platters were nondescript combinations with fresh leaf salad .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-0.5566, -0.7209,  0.4196], device='cuda:0', grad_fn=<SelectBackward>)"
The falafal was rather over cooked and dried but the chicken was fine .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.4204, -0.5522, -0.0651], device='cuda:0', grad_fn=<SelectBackward>)"
It had been awhile and I forgot just how delicious crepes can be .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([-0.2191, -0.0421, -0.9486], device='cuda:0', grad_fn=<SelectBackward>)"
Be sure to accompany your food with one of their fresh juice concoctions .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.8236, -0.6403,  1.0598], device='cuda:0', grad_fn=<SelectBackward>)"
Half a chicken with a mountain of rice and beans for $ 6.25 .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.5391, -1.4046,  1.6299], device='cuda:0', grad_fn=<SelectBackward>)"
Half a chicken with a mountain of rice and beans for $ 6.25 .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.4169, -1.1488,  1.3085], device='cuda:0', grad_fn=<SelectBackward>)"
Half a chicken with a mountain of rice and beans for $ 6.25 .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.3720, -1.0345,  1.1797], device='cuda:0', grad_fn=<SelectBackward>)"
"The menu , which changes seasonally , shows both regional and international influences .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.7165, -0.7339,  1.0794], device='cuda:0', grad_fn=<SelectBackward>)"
The quality of the meat was on par with your local grocery store .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([ 0.3043, -2.1159,  1.2960], device='cuda:0', grad_fn=<SelectBackward>)"
IT WAS OUR ONLY OPPORTUNITY TO VISIT AND WANTED AN AUTHENTIC ITALIAN MEAL .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-1.9647, -0.8988,  1.4748], device='cuda:0', grad_fn=<SelectBackward>)"
You will not be dissapointed by any of the choices in the menu .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([-0.2088, -0.9061, -0.2250], device='cuda:0', grad_fn=<SelectBackward>)"
Offerings like hot cakes and the Egg McMuffin sandwich are available for breakfast .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-2.4677, -0.9909,  1.6062], device='cuda:0', grad_fn=<SelectBackward>)"
Offerings like hot cakes and the Egg McMuffin sandwich are available for breakfast .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-2.4606, -0.9888,  1.6035], device='cuda:0', grad_fn=<SelectBackward>)"
Offerings like hot cakes and the Egg McMuffin sandwich are available for breakfast .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-2.0409, -0.7740,  1.1891], device='cuda:0', grad_fn=<SelectBackward>)"
The sauce is excellent -LRB- very fresh -RRB- with dabs of real mozzarella .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-2.2627, -2.1765,  3.0800], device='cuda:0', grad_fn=<SelectBackward>)"
"Frankly , the chinese food here is something I can make better at home .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.3749, -0.8203,  0.0480], device='cuda:0', grad_fn=<SelectBackward>)"
new hamburger with special sauce is ok - at least better than big mac !,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([-1.2130,  0.4454, -0.5736], device='cuda:0', grad_fn=<SelectBackward>)"
new hamburger with special sauce is ok - at least better than big mac !,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.5052, -0.0485, -0.7162], device='cuda:0', grad_fn=<SelectBackward>)"
"Tables are close , so you better be comfortable bumping elbows with other patrons .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.3700, -0.7665, -0.0338], device='cuda:0', grad_fn=<SelectBackward>)"
The service was on point - what else you would expect from a Ritz ?,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([ 0.0010, -0.5796, -0.6806], device='cuda:0', grad_fn=<SelectBackward>)"
I HAVE NEVER HAD A BAD MEAL -LRB- OR BAD SERVICE -RRB- @ PIGALLE .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([ 0.1259,  0.1660, -1.4387], device='cuda:0', grad_fn=<SelectBackward>)"
I have to say they have one of the fastest delivery times in the city .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([ 0.2381, -0.6826, -0.5840], device='cuda:0', grad_fn=<SelectBackward>)"
i dont know what some people who rave about this hot dog are talking about .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.8367, -0.2993, -0.2730], device='cuda:0', grad_fn=<SelectBackward>)"
"Service is excellent , no wait , and you get a lot for the price .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([-0.0059, -0.8751, -0.2510], device='cuda:0', grad_fn=<SelectBackward>)"
The food is so good and so popular that waiting can really be a nightmare .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.5674, -1.3982,  0.7730], device='cuda:0', grad_fn=<SelectBackward>)"
"The food is average : breakfast food , soups , salads , sandwiches , etc. .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-2.1924, -1.3863,  2.0216], device='cuda:0', grad_fn=<SelectBackward>)"
"The food is average : breakfast food , soups , salads , sandwiches , etc. .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-2.2821, -1.4509,  2.1268], device='cuda:0', grad_fn=<SelectBackward>)"
"The food is average : breakfast food , soups , salads , sandwiches , etc. .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-2.2708, -1.4399,  2.1095], device='cuda:0', grad_fn=<SelectBackward>)"
"The food is average : breakfast food , soups , salads , sandwiches , etc. .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-2.2808, -1.4472,  2.1197], device='cuda:0', grad_fn=<SelectBackward>)"
"The food is average : breakfast food , soups , salads , sandwiches , etc. .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([-2.2846, -1.4509,  2.1251], device='cuda:0', grad_fn=<SelectBackward>)"
THEY HAVE WAITERS ON THE SIDEWALK TRYING TO PULL YOU IN WHICH MADE US SUSPICIOUS .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(1, device='cuda:0')","tensor([ 0.4465, -0.2397, -1.5026], device='cuda:0', grad_fn=<SelectBackward>)"
"For someone who used to hate Indian food , Baluchi 's has changed my mid .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(2, device='cuda:0')","tensor([-0.1844, -0.1994, -0.8350], device='cuda:0', grad_fn=<SelectBackward>)"
"Although the restaurant itself is nice , I prefer not to go for the food .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.5921, -0.2421, -0.3829], device='cuda:0', grad_fn=<SelectBackward>)"
How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners !,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-2.3336, -0.1781,  0.9261], device='cuda:0', grad_fn=<SelectBackward>)"
How pretentious and inappropriate for MJ Grill to claim that it provides power lunch and dinners !,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-2.3335, -0.1781,  0.9260], device='cuda:0', grad_fn=<SelectBackward>)"
Did n't seem like any effort was made to the display and quality of the food .,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","tensor(0, device='cuda:0')","tensor([-0.0419, -2.0141,  1.4554], device='cuda:0', grad_fn=<SelectBackward>)"
